id,date,store_nbr,family,sales,onpromotion
1497,2013-01-01,50,GROCERY I,0,0
3279,2013-01-02,50,GROCERY I,7640,0
5061,2013-01-03,50,GROCERY I,4687,0
6843,2013-01-04,50,GROCERY I,5652,0
8625,2013-01-05,50,GROCERY I,7889,0
10407,2013-01-06,50,GROCERY I,7558,0
12189,2013-01-07,50,GROCERY I,5109,0
13971,2013-01-08,50,GROCERY I,4290,0
15753,2013-01-09,50,GROCERY I,4455,0
17535,2013-01-10,50,GROCERY I,3313,0
19317,2013-01-11,50,GROCERY I,3696,0
21099,2013-01-12,50,GROCERY I,6223,0
22881,2013-01-13,50,GROCERY I,7218,0
24663,2013-01-14,50,GROCERY I,3984,0
26445,2013-01-15,50,GROCERY I,3740,0
28227,2013-01-16,50,GROCERY I,4592,0
30009,2013-01-17,50,GROCERY I,3662,0
31791,2013-01-18,50,GROCERY I,3743,0
33573,2013-01-19,50,GROCERY I,6447,0
35355,2013-01-20,50,GROCERY I,7124,0
37137,2013-01-21,50,GROCERY I,4553,0
38919,2013-01-22,50,GROCERY I,4105,0
40701,2013-01-23,50,GROCERY I,4475,0
42483,2013-01-24,50,GROCERY I,3683,0
44265,2013-01-25,50,GROCERY I,3919,0
46047,2013-01-26,50,GROCERY I,5577,0
47829,2013-01-27,50,GROCERY I,6270,0
49611,2013-01-28,50,GROCERY I,3807,0
51393,2013-01-29,50,GROCERY I,3483,0
53175,2013-01-30,50,GROCERY I,4158,0
54957,2013-01-31,50,GROCERY I,3553,0
56739,2013-02-01,50,GROCERY I,4984,0
58521,2013-02-02,50,GROCERY I,7053,0
60303,2013-02-03,50,GROCERY I,7402,0
62085,2013-02-04,50,GROCERY I,5793,0
63867,2013-02-05,50,GROCERY I,5366,0
65649,2013-02-06,50,GROCERY I,5104,0
67431,2013-02-07,50,GROCERY I,4276,0
69213,2013-02-08,50,GROCERY I,4811,0
70995,2013-02-09,50,GROCERY I,5706,0
72777,2013-02-10,50,GROCERY I,3065,0
74559,2013-02-11,50,GROCERY I,4014,0
76341,2013-02-12,50,GROCERY I,5418,0
78123,2013-02-13,50,GROCERY I,5208,0
79905,2013-02-14,50,GROCERY I,4343,0
81687,2013-02-15,50,GROCERY I,4539,0
83469,2013-02-16,50,GROCERY I,7664,0
85251,2013-02-17,50,GROCERY I,6170,0
87033,2013-02-18,50,GROCERY I,4746,0
88815,2013-02-19,50,GROCERY I,4097,0
90597,2013-02-20,50,GROCERY I,4449,0
92379,2013-02-21,50,GROCERY I,3834,0
94161,2013-02-22,50,GROCERY I,4036,0
95943,2013-02-23,50,GROCERY I,6353,0
97725,2013-02-24,50,GROCERY I,7453,0
99507,2013-02-25,50,GROCERY I,4214,0
101289,2013-02-26,50,GROCERY I,3649,0
103071,2013-02-27,50,GROCERY I,4328,0
104853,2013-02-28,50,GROCERY I,4069,0
106635,2013-03-01,50,GROCERY I,5416,0
108417,2013-03-02,50,GROCERY I,9501,0
