Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2012-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2012-02-20,Carnaval,Carnival,EC,False,True,,Public,
2012-02-21,Carnaval,Carnival,EC,False,True,,Public,
2012-04-06,Good Friday,Good Friday,EC,False,True,,Public,
2012-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2012-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2012-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2012-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2012-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2012-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2012-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2013-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2013-02-11,Carnaval,Carnival,EC,False,True,,Public,
2013-02-12,Carnaval,Carnival,EC,False,True,,Public,
2013-03-29,Good Friday,Good Friday,EC,False,True,,Public,
2013-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2013-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2013-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2013-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2013-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2013-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2013-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2014-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2014-03-03,Carnaval,Carnival,EC,False,True,,Public,
2014-03-04,Carnaval,Carnival,EC,False,True,,Public,
2014-04-18,Good Friday,Good Friday,EC,False,True,,Public,
2014-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2014-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2014-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2014-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2014-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2014-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2014-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2015-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2015-02-16,Carnaval,Carnival,EC,False,True,,Public,
2015-02-17,Carnaval,Carnival,EC,False,True,,Public,
2015-04-03,Good Friday,Good Friday,EC,False,True,,Public,
2015-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2015-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2015-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2015-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2015-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2015-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2015-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2016-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2016-02-08,Carnaval,Carnival,EC,False,True,,Public,
2016-02-09,Carnaval,Carnival,EC,False,True,,Public,
2016-03-25,Good Friday,Good Friday,EC,False,True,,Public,
2016-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2016-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2016-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2016-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2016-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2016-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2016-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2017-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2017-02-27,Carnaval,Carnival,EC,False,True,,Public,
2017-02-28,Carnaval,Carnival,EC,False,True,,Public,
2017-04-14,Good Friday,Good Friday,EC,False,True,,Public,
2017-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2017-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2017-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2017-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2017-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2017-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2017-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
2018-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2018-02-12,Carnaval,Carnival,EC,False,True,,Public,
2018-02-13,Carnaval,Carnival,EC,False,True,,Public,
2018-03-30,Good Friday,Good Friday,EC,False,True,,Public,
2018-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2018-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2018-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2018-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2018-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2018-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2018-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
